Time(s),NodeID,Role,RemainingEnergy(J)
30,82,SENSOR,9999.53
30,83,SENSOR,9999.53
30,84,SENSOR,9999.53
30,85,SENSOR,9999.53
30,86,SENSOR,9999.53
30,87,SENSOR,9999.53
30,88,SENSOR,9999.53
30,89,SENSOR,9999.53
30,90,SENSOR,9999.53
30,91,SENSOR,9999.53
30,92,SENSOR,9999.53
30,93,SENSOR,9999.53
30,94,SENSOR,9999.53
30,95,SENSOR,9999.53
30,96,SENSOR,9999.53
30,97,SENSOR,9999.53
30,98,SENSOR,9999.53
30,99,SENSOR,9999.53
30,100,CH,9998.18
30,101,CH,9998.18
30,102,CH,9998.18
30,103,CH,9998.18
30,104,CH,9998.18
30,105,CH,9998.18
30,106,CH,9998.18
30,107,CH,9998.18
30,108,CH,9998.18
30,109,CH,9998.18
35,0,SENSOR,9999.47
35,1,SENSOR,9999.47
35,2,SENSOR,9999.47
35,3,SENSOR,9999.47
35,4,SENSOR,9999.47
35,5,SENSOR,9999.47
35,6,SENSOR,9999.47
35,7,SENSOR,9999.47
35,8,SENSOR,9999.47
35,9,SENSOR,9999.47
35,10,SENSOR,9999.47
35,11,SENSOR,9999.47
35,12,SENSOR,9999.47
35,13,SENSOR,9999.47
35,14,SENSOR,9999.47
35,15,SENSOR,9999.47
35,16,SENSOR,9999.47
35,17,SENSOR,9999.47
35,18,SENSOR,9999.47
35,19,SENSOR,9999.47
35,20,SENSOR,9999.47
35,21,SENSOR,9999.47
35,22,SENSOR,9999.47
35,23,SENSOR,9999.47
35,24,SENSOR,9999.47
35,25,SENSOR,9999.47
35,26,SENSOR,9999.47
35,27,SENSOR,9999.47
35,28,SENSOR,9999.47
35,29,SENSOR,9999.47
35,30,SENSOR,9999.47
35,31,SENSOR,9999.47
35,32,SENSOR,9999.47
35,33,SENSOR,9999.47
35,34,SENSOR,9999.47
35,35,SENSOR,9999.47
35,36,SENSOR,9999.47
35,37,SENSOR,9999.47
35,38,SENSOR,9999.47
35,39,SENSOR,9999.47
35,40,SENSOR,9999.47
35,41,SENSOR,9999.47
35,42,SENSOR,9999.47
35,43,SENSOR,9999.47
35,44,SENSOR,9999.47
35,45,SENSOR,9999.47
35,46,SENSOR,9999.47
35,47,SENSOR,9999.47
35,48,SENSOR,9999.47
35,49,SENSOR,9999.47
35,50,SENSOR,9999.47
35,51,SENSOR,9999.47
35,52,SENSOR,9999.47
35,53,SENSOR,9999.47
35,54,SENSOR,9999.47
35,55,SENSOR,9999.47
35,56,SENSOR,9999.47
35,57,SENSOR,9999.47
35,58,SENSOR,9999.47
35,59,SENSOR,9999.47
35,60,SENSOR,9999.47
35,61,SENSOR,9999.47
35,62,SENSOR,9999.47
35,63,SENSOR,9999.47
35,64,SENSOR,9999.47
35,65,SENSOR,9999.47
35,66,SENSOR,9999.47
35,67,SENSOR,9999.47
35,68,SENSOR,9999.47
35,69,SENSOR,9999.47
35,70,SENSOR,9999.47
35,71,SENSOR,9999.47
35,72,SENSOR,9999.47
35,73,SENSOR,9999.47
35,74,SENSOR,9999.47
35,75,SENSOR,9999.47
35,76,SENSOR,9999.47
35,77,SENSOR,9999.47
35,78,SENSOR,9999.47
35,79,SENSOR,9999.47
35,80,SENSOR,9999.47
35,81,SENSOR,9999.47
35,82,SENSOR,9999.47
35,83,SENSOR,9999.47
35,84,SENSOR,9999.47
35,85,SENSOR,9999.47
35,86,SENSOR,9999.47
35,87,SENSOR,9999.47
35,88,SENSOR,9999.47
35,89,SENSOR,9999.47
35,90,SENSOR,9999.47
35,91,SENSOR,9999.47
35,92,SENSOR,9999.47
35,93,SENSOR,9999.47
35,94,SENSOR,9999.47
35,95,SENSOR,9999.47
35,96,SENSOR,9999.47
35,97,SENSOR,9999.47
35,98,SENSOR,9999.47
35,99,SENSOR,9999.47
35,100,CH,9997.78
35,101,CH,9997.78
35,102,CH,9997.78
35,103,CH,9997.78
35,104,CH,9997.78
35,105,CH,9997.78
35,106,CH,9997.78
35,107,CH,9997.78
35,108,CH,9997.78
35,109,CH,9997.78
40,0,SENSOR,9999.4
40,1,SENSOR,9999.4
40,2,SENSOR,9999.4
40,3,SENSOR,9999.4
40,4,SENSOR,9999.4
40,5,SENSOR,9999.4
40,6,SENSOR,9999.4
40,7,SENSOR,9999.4
40,8,SENSOR,9999.4
40,9,SENSOR,9999.4
40,10,SENSOR,9999.4
40,11,SENSOR,9999.4
40,12,SENSOR,9999.4
40,13,SENSOR,9999.4
40,14,SENSOR,9999.4
40,15,SENSOR,9999.4
40,16,SENSOR,9999.4
40,17,SENSOR,9999.4
40,18,SENSOR,9999.4
40,19,SENSOR,9999.4
40,20,SENSOR,9999.4
40,21,SENSOR,9999.4
40,22,SENSOR,9999.4
40,23,SENSOR,9999.4
40,24,SENSOR,9999.4
40,25,SENSOR,9999.4
40,26,SENSOR,9999.4
40,27,SENSOR,9999.4
40,28,SENSOR,9999.4
40,29,SENSOR,9999.4
40,30,SENSOR,9999.4
40,31,SENSOR,9999.4
40,32,SENSOR,9999.4
40,33,SENSOR,9999.4
40,34,SENSOR,9999.4
40,35,SENSOR,9999.4
40,36,SENSOR,9999.4
40,37,SENSOR,9999.4
40,38,SENSOR,9999.4
40,39,SENSOR,9999.4
40,40,SENSOR,9999.4
40,41,SENSOR,9999.4
40,42,SENSOR,9999.4
40,43,SENSOR,9999.4
40,44,SENSOR,9999.4
